DATEEFFECTIVE,INTERSECTIONDESC,CLASSIFICATION,CLASSIFICATIONDESC,geometry,MODGEOMETRY
2008-12-12 4:22:46 AM,ROBINDALE AVE / RIMILTON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5310702158, 43.607242585)}"," (-79.5310702158, 43.607242585)"
2008-12-12 4:22:46 AM,BELLMAN AVE / VALERMO DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5313732423, 43.6096000121)}"," (-79.5313732423, 43.6096000121)"
2008-12-12 4:22:46 AM,VALERMO DR / GOA CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5331747278, 43.6091899837)}"," (-79.5331747278, 43.6091899837)"
2008-12-12 4:22:46 AM,VALERMO DR / TREEVIEW DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5344174373, 43.6089049372)}"," (-79.5344174373, 43.6089049372)"
2008-12-12 4:22:46 AM,VALERMO DR / THIRTIETH ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5355925205, 43.6086391703)}"," (-79.5355925205, 43.6086391703)"
2008-12-12 4:22:46 AM,VALERMO DR / DELTA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5380199282, 43.6081028218)}"," (-79.5380199282, 43.6081028218)"
2008-12-12 4:22:46 AM,VALERMO DR / GAMMA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5391889131, 43.6078419978)}"," (-79.5391889131, 43.6078419978)"
2008-12-12 4:22:46 AM,VALERMO DR / BETA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5403715794, 43.6075671957)}"," (-79.5403715794, 43.6075671957)"
2008-12-12 4:22:46 AM,LANOR AVE / DELTA ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5388854869, 43.6103429767)}"," (-79.5388854869, 43.6103429767)"
2008-12-12 4:22:46 AM,CLOUSTON AVE / MONKLANDS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5075710384, 43.6944301524)}"," (-79.5075710384, 43.6944301524)"
2008-12-12 4:22:46 AM,WESTON RD / LIPPINCOTT ST E / LIPPINCOTT ST W,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5072952146, 43.6954756523)}"," (-79.5072952146, 43.6954756523)"
2008-12-12 4:22:46 AM,FORDHOUSE BLVD / ALGIE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.535987473, 43.6163873079)}"," (-79.535987473, 43.6163873079)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ALGIE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5370265369, 43.6186903927)}"," (-79.5370265369, 43.6186903927)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / ATOMIC AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5408674742, 43.6177404523)}"," (-79.5408674742, 43.6177404523)"
2008-12-12 4:22:46 AM,SHORNCLIFFE RD / NORTH QUEEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5406696758, 43.6224726086)}"," (-79.5406696758, 43.6224726086)"
2008-12-12 4:22:46 AM,VANSCO RD / NORTH QUEEN ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5358422904, 43.6235597034)}"," (-79.5358422904, 43.6235597034)"
2008-12-12 4:22:46 AM,WICKMAN RD / VANSCO RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.53412622, 43.6197506803)}"," (-79.53412622, 43.6197506803)"
2008-12-12 4:22:46 AM,PLYWOOD PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5300961989, 43.619941787)}"," (-79.5300961989, 43.619941787)"
2008-12-12 4:22:46 AM,PLYWOOD PL / QUEENSWAY LIONS CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5287985739, 43.620093669)}"," (-79.5287985739, 43.620093669)"
2008-12-12 4:22:46 AM,THE QUEENSWAY / PLYWOOD PL,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5289625316, 43.6204220079)}"," (-79.5289625316, 43.6204220079)"
2008-12-12 4:22:46 AM,KIPLING AVE / WARNICA AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5275505675, 43.6228000515)}"," (-79.5275505675, 43.6228000515)"
2008-12-12 4:22:46 AM,WARNICA AVE / STOCK AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5263036208, 43.6230778585)}"," (-79.5263036208, 43.6230778585)"
2008-12-12 4:22:46 AM,WARNICA AVE / CULNAN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5250396748, 43.6233564118)}"," (-79.5250396748, 43.6233564118)"
2008-12-12 4:22:46 AM,KIPLING AVE / THE QUEENSWAY,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5267419595, 43.6209182475)}"," (-79.5267419595, 43.6209182475)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5262570767, 43.6198805065)}"," (-79.5262570767, 43.6198805065)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C E RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5256555866, 43.6175694677)}"," (-79.5256555866, 43.6175694677)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S GARDINER C E RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5256555866, 43.6175694677)}"," (-79.5256555866, 43.6175694677)"
2008-12-12 4:22:46 AM,GARDINER XWY / KIPLING AVE / KIPLING N GARDINER C W RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5258259741, 43.6181839288)}"," (-79.5258259741, 43.6181839288)"
2008-12-12 4:22:46 AM,GARDINER XWY / KIPLING AVE / KIPLING N GARDINER C W RAMP,MNRML,MINOR-MULTI LEVEL,"{u'type': u'Point', u'coordinates': (-79.5258259741, 43.6181839288)}"," (-79.5258259741, 43.6181839288)"
2008-12-12 4:22:46 AM,WICKMAN RD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5315859255, 43.6195949208)}"," (-79.5315859255, 43.6195949208)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / GIBSON AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5070368026, 43.7022789564)}"," (-79.5070368026, 43.7022789564)"
2008-12-12 4:22:46 AM,GIBSON AVE / ELLIS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5066982529, 43.7015584243)}"," (-79.5066982529, 43.7015584243)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5060404634, 43.7025185105)}"," (-79.5060404634, 43.7025185105)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / VIMY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5049897482, 43.7027699939)}"," (-79.5049897482, 43.7027699939)"
2008-12-12 4:22:46 AM,BOYD AVE / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5063494291, 43.7032186852)}"," (-79.5063494291, 43.7032186852)"
2008-12-12 4:22:46 AM,MACDONALD AVE / MERRILL AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5066448996, 43.7038916218)}"," (-79.5066448996, 43.7038916218)"
2008-12-12 4:22:46 AM,MERRILL AVE / WILLIAM ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5072444209, 43.7052296791)}"," (-79.5072444209, 43.7052296791)"
2008-12-12 4:22:46 AM,JANE ST / PATIKA AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5044055499, 43.7051590917)}"," (-79.5044055499, 43.7051590917)"
2008-12-12 4:22:46 AM,JANE ST / MACDONALD AVE / MARSHLYNN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5042489146, 43.7044734075)}"," (-79.5042489146, 43.7044734075)"
2008-12-12 4:22:46 AM,MACDONALD AVE / VIMY AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5055946579, 43.7041285647)}"," (-79.5055946579, 43.7041285647)"
2008-12-12 4:22:46 AM,HEARNE AVE / EVERGLADES DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5029155182, 43.7038819124)}"," (-79.5029155182, 43.7038819124)"
2008-12-12 4:22:46 AM,MARSHLYNN AVE / SONNET CRT,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5022730935, 43.7049202422)}"," (-79.5022730935, 43.7049202422)"
2008-12-12 4:22:46 AM,WICKMAN RD / FORDHOUSE BLVD,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5306086133, 43.6174286549)}"," (-79.5306086133, 43.6174286549)"
2008-12-12 4:22:46 AM,KIPLING AVE / KIPLING S EVANS W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5253132766, 43.616850016)}"," (-79.5253132766, 43.616850016)"
2008-12-12 4:22:46 AM,EVANS AVE / KIPLING S EVANS W RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5263826981, 43.615678294)}"," (-79.5263826981, 43.615678294)"
2008-12-12 4:22:46 AM,EVANS AVE / ARNOLD ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5210626693, 43.6164951422)}"," (-79.5210626693, 43.6164951422)"
2008-12-12 4:22:46 AM,HEARNE AVE / MARSHLYNN AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.503149121, 43.7046979079)}"," (-79.503149121, 43.7046979079)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / MARTINI DR,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5019983896, 43.7031863494)}"," (-79.5019983896, 43.7031863494)"
2008-12-12 4:22:46 AM,LAWRENCE AVE W / HEARNE AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5027075418, 43.7030378587)}"," (-79.5027075418, 43.7030378587)"
2008-12-12 4:22:46 AM,JANE ST / LAWRENCE AVE W,MJRSL,MAJOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5038384408, 43.7028780717)}"," (-79.5038384408, 43.7028780717)"
2008-12-12 4:22:46 AM,JANE ST / ELLIS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5036419588, 43.702279088)}"," (-79.5036419588, 43.702279088)"
2008-12-12 4:22:46 AM,JANE ST / SPEERS AVE,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5034551893, 43.7015720793)}"," (-79.5034551893, 43.7015720793)"
2008-12-12 4:22:46 AM,THURODALE AVE / TEDDER ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5008770729, 43.7017812009)}"," (-79.5008770729, 43.7017812009)"
2008-12-12 4:22:46 AM,THURODALE AVE / DUCKWORTH ST,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.4995883662, 43.7021029452)}"," (-79.4995883662, 43.7021029452)"
2008-12-12 4:22:46 AM,HORNER N GARDINER C E RAMP / HORNER AVENUE RAMP / GARDINER C E HORNER S RAMP,MNRSL,MINOR-SINGLE LEVEL,"{u'type': u'Point', u'coordinates': (-79.5193603812, 43.6182451019)}"," (-79.5193603812, 43.6182451019)"
