YEAR,DATE,TIME,Hour,STREET1,STREET2,OFFSET,ROAD_CLASS,DISTRICT,LATITUDE,LONGITUDE,LOCCOORD,ACCLOC,TRAFFCTL,VISIBILITY,LIGHT,RDSFCOND,ACCLASS,IMPACTYPE,INVTYPE,INVAGE,INJURY,INITDIR,VEHTYPE,MANOEUVER,DRIVACT,DRIVCOND,PEDTYPE,PEDACT,PEDCOND,CYCLISTYPE,CYCACT,CYCCOND,INVOLVED,RELATED,Neighbourh
2011,2011-11-27 5:00:00 AM,0,0,DUNERA AVEN,EMCARR DRIV,,LOCAL,SCARBOROUGH,43.757145,-79.19569,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,NONE,,OTHER,OTHER,,,,,,,,,"CYCLIST,AUTOMOBILE",,West Hill (136)
2011,2011-11-27 5:00:00 AM,0,0,DUNERA AVEN,EMCARR DRIV,,LOCAL,SCARBOROUGH,43.757145,-79.19569,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,30 to 34,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,,,,,,,,,"CYCLIST,AUTOMOBILE",,West Hill (136)
2011,2011-11-27 5:00:00 AM,0,0,DUNERA AVEN,EMCARR DRIV,,LOCAL,SCARBOROUGH,43.757145,-79.19569,INTERSECTION,AT INTERSECTION,STOP SIGN,RAIN,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,SOUTH,BICYCLE,TURNING LEFT,,,,,,,,,"CYCLIST,AUTOMOBILE",,West Hill (136)
2015,2015-05-30 4:00:00 AM,2,0,DUNDAS ST W,EDNA AVE,2 m North of,MINOR ARTERIAL,TORONTO AND EAST YORK,43.657214,-79.45267,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,50 to 54,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Failed to Yield Right of Way,Normal,"CYCLIST,AUTOMOBILE",,High Park North (88)
2015,2015-05-30 4:00:00 AM,2,0,DUNDAS ST W,EDNA AVE,2 m North of,MINOR ARTERIAL,TORONTO AND EAST YORK,43.657214,-79.45267,INTERSECTION,AT INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,NONE,NORTH,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,High Park North (88)
2014,2014-04-25 4:00:00 AM,5,0,DUNDAS ST W,GLADSTONE AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.649573,-79.429813,INTERSECTION,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,40 to 44,MINIMAL,EAST,"AUTOMOBILE, STATION WAGON",MAKING U TURN,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,Little Portugal (84)
2014,2014-04-25 4:00:00 AM,5,0,DUNDAS ST W,GLADSTONE AVE,,MINOR ARTERIAL,TORONTO AND EAST YORK,43.649573,-79.429813,INTERSECTION,NON INTERSECTION,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,35 to 39,MAJOR,WEST,BICYCLE,GOING AHEAD,,,,,,Motorist makes u-turn in-front of cyclist.,Driving Properly,Normal,"CYCLIST,AUTOMOBILE",,Little Portugal (84)
2009,2009-08-10 4:00:00 AM,10,0,FINCH AVEN E,DON MILLS ROAD,,MAJOR ARTERIAL,NORTH YORK,43.792645,-79.35469,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,VEHICLE OWNER,unknown,,,OTHER,,,,,,,,,,"CYCLIST,AUTOMOBILE",,Don Valley Village (47)
2009,2009-08-10 4:00:00 AM,10,0,FINCH AVEN E,DON MILLS ROAD,,MAJOR ARTERIAL,NORTH YORK,43.792645,-79.35469,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,45 to 49,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE",,Don Valley Village (47)
2009,2009-08-10 4:00:00 AM,10,0,FINCH AVEN E,DON MILLS ROAD,,MAJOR ARTERIAL,NORTH YORK,43.792645,-79.35469,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,DARK,WET,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,NORTH,BICYCLE,GOING AHEAD,,,,,,"Cyclist without ROW rides into path of motorist at inter, lnwy, dwy-Cyclist not turn.",Disobeyed Traffic Control,Had Been Drinking,"CYCLIST,AUTOMOBILE",,Don Valley Village (47)
2015,2015-06-11 4:00:00 AM,24,0,FINCH AVE W,TOBERMORY DR,,MAJOR ARTERIAL,ETOBICOKE YORK,43.759272,-79.507922,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,FATAL,CYCLIST COLLISIONS,DRIVER,20 to 24,NONE,WEST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,EXCEEDING SPEED LIMIT,"ABILITY IMPAIRED, ALCOHOL",,,,,,,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED,ALCOHOL",Glenfield-Jane Heights (25)
2015,2015-06-11 4:00:00 AM,24,0,FINCH AVE W,TOBERMORY DR,,MAJOR ARTERIAL,ETOBICOKE YORK,43.759272,-79.507922,INTERSECTION,AT INTERSECTION,TRAFFIC SIGNAL,CLEAR,"DARK, ARTIFICIAL",DRY,FATAL,CYCLIST COLLISIONS,CYCLIST,40 to 44,FATAL,WEST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle rear-ended the other.,Driving Properly,Unknown,"CYCLIST,AUTOMOBILE","SPEEDING,AGGRESIVE AND DISTRACTED,ALCOHOL",Glenfield-Jane Heights (25)
2016,2016-07-11 4:00:00 AM,27,0,429 DUNDAS ST E,,15 m North of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659266,-79.366695,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,CYCLIST,25 to 29,MAJOR,EAST,BICYCLE,GOING AHEAD,,,,,,Cyclist and Driver travelling in same direction. One vehicle sideswipes the other.,Other,Had Been Drinking,"CYCLIST,AUTOMOBILE,PASSENGER",,Moss Park (73)
2016,2016-07-11 4:00:00 AM,27,0,429 DUNDAS ST E,,15 m North of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659266,-79.366695,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,20 to 24,NONE,EAST,"AUTOMOBILE, STATION WAGON",GOING AHEAD,DRIVING PROPERLY,NORMAL,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Moss Park (73)
2016,2016-07-11 4:00:00 AM,27,0,429 DUNDAS ST E,,15 m North of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659266,-79.366695,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,20 to 24,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Moss Park (73)
2016,2016-07-11 4:00:00 AM,27,0,429 DUNDAS ST E,,15 m North of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659266,-79.366695,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,25 to 29,NONE,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Moss Park (73)
2016,2016-07-11 4:00:00 AM,27,0,429 DUNDAS ST E,,15 m North of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.659266,-79.366695,INTERSECTION,INTERSECTION RELATED,NO CONTROL,CLEAR,"DARK, ARTIFICIAL",DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,PASSENGER,20 to 24,MAJOR,,,,,,,,,,,,"CYCLIST,AUTOMOBILE,PASSENGER",,Moss Park (73)
2016,2016-05-15 4:00:00 AM,30,0,DUNDAS ST W,OSSINGTON AVE,40 m East of,MAJOR ARTERIAL,TORONTO AND EAST YORK,43.649394,-79.420032,MID-BLOCK,NON INTERSECTION,NO CONTROL,CLEAR,DARK,DRY,NON-FATAL INJURY,CYCLIST COLLISIONS,DRIVER,unknown,NONE,WEST,"AUTOMOBILE, STATION WAGON",MAKING U TURN,IMPROPER TURN,INATTENTIVE,,,,,,,"CYCLIST,AUTOMOBILE",,Trinity-Bellwoods (81)
